=========================================================================================================
TONG HOP CHI TIET DON DAT SACH GIAO KHOA THPT (TU FILE SGKTHPT.xlsx)
=========================================================================================================
[Lá»›p 11] STT 23 | Ma: G3BHYA001  | Ten: Tiếng Anh 11 – Sách bài tập  - Global Success           | Gia:   60,000 Ä‘ | SL:  1 | ThanhTien:     60,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 25 | Ma: G1HHYL001  | Ten: Vật lí 11 (KNTT)                                        | Gia:   14,600 Ä‘ | SL:  1 | ThanhTien:     14,600 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 26 | Ma: G1HHYL002  | Ten: Chuyên đề học tập Vật lí 11 (KNTT)                      | Gia:    7,800 Ä‘ | SL:  1 | ThanhTien:      7,800 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 27 | Ma: G1BHYL001  | Ten: Bài tập Vật lí 11(KNTT)                                 | Gia:   18,000 Ä‘ | SL:  1 | ThanhTien:     18,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 28 | Ma: G1HHYH001  | Ten: Hóa học 11  (KNTT)                                      | Gia:   19,300 Ä‘ | SL:  1 | ThanhTien:     19,300 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 29 | Ma: G1HHYH002  | Ten: Chuyên đề học tập Hóa học 11 (KNTT)                     | Gia:    7,300 Ä‘ | SL:  1 | ThanhTien:      7,300 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 30 | Ma: G0AHPH001  | Ten: Bảng tuần hoàn các nguyên tố hóa học (Dành cho học sinh Trung học phổ thông - Theo chương trình GDPT năm 2018) | Gia:    9,000 Ä‘ | SL:  1 | ThanhTien:      9,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 31 | Ma: G1BHYH001  | Ten: Bài tập Hóa học 11 (KNTT)                               | Gia:   24,000 Ä‘ | SL:  1 | ThanhTien:     24,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 32 | Ma: G1HHYB001  | Ten: Sinh học 11  (KNTT)                                     | Gia:   23,100 Ä‘ | SL:  1 | ThanhTien:     23,100 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 11] STT 33 | Ma: G1HHYB002  | Ten: Chuyên đề học tập Sinh học 11 (KNTT)                    | Gia:    9,000 Ä‘ | SL:  1 | ThanhTien:      9,000 Ä‘ | Ghi chu: Khối A (1 HS)
